URL,Status Code,Response Time (s),Status,Performance Score,Timestamp
https://gigatron.rs,200.0,0.322,UP,310.56,2026-04-08 01:34:00
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-08 01:34:00
https://google.com,200.0,0.898,UP,111.36,2026-04-08 01:50:57
https://github.com,200.0,0.384,UP,260.42,2026-04-08 01:50:57
https://gigatron.rs,200.0,0.079,UP,1265.82,2026-04-08 01:50:57
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-08 01:50:57
https://google.com,200.0,0.668,UP,149.7,2026-04-08 02:07:25
https://github.com,200.0,0.213,UP,469.48,2026-04-08 02:07:25
https://gigatron.rs,200.0,0.092,UP,1086.96,2026-04-08 02:07:25
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-08 02:07:25
https://google.com,200.0,0.756,UP,132.28,2026-04-08 02:25:24
https://github.com,200.0,0.233,UP,429.18,2026-04-08 02:25:24
https://gigatron.rs,200.0,0.084,UP,1190.48,2026-04-08 02:25:24
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-08 02:25:24
https://google.com,200.0,0.585,UP,170.94,2026-04-08 02:41:07
https://github.com,200.0,0.226,UP,442.48,2026-04-08 02:41:07
https://gigatron.rs,200.0,0.089,UP,1123.6,2026-04-08 02:41:07
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-08 02:41:07
https://google.com,200.0,0.703,UP,142.25,2026-04-08 02:58:37
https://github.com,200.0,0.254,UP,393.7,2026-04-08 02:58:37
https://gigatron.rs,200.0,0.128,UP,781.25,2026-04-08 02:58:37
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-08 02:58:37
https://google.com,200.0,0.561,UP,178.25,2026-04-08 03:15:38
https://github.com,200.0,0.212,UP,471.7,2026-04-08 03:15:38
https://gigatron.rs,200.0,0.09,UP,1111.11,2026-04-08 03:15:38
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-08 03:15:38
https://google.com,200.0,0.567,UP,176.37,2026-04-08 03:32:23
https://github.com,200.0,0.234,UP,427.35,2026-04-08 03:32:23
https://gigatron.rs,200.0,0.09,UP,1111.11,2026-04-08 03:32:23
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-08 03:32:23
https://google.com,200.0,0.561,UP,178.25,2026-04-08 03:48:19
https://github.com,200.0,0.205,UP,487.8,2026-04-08 03:48:19
https://gigatron.rs,200.0,0.094,UP,1063.83,2026-04-08 03:48:19
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-08 03:48:19
https://google.com,200.0,0.653,UP,153.14,2026-04-08 04:05:35
https://github.com,200.0,0.217,UP,460.83,2026-04-08 04:05:35
https://gigatron.rs,200.0,0.094,UP,1063.83,2026-04-08 04:05:35
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-08 04:05:35
https://google.com,200.0,0.579,UP,172.71,2026-04-08 04:23:08
https://github.com,200.0,0.232,UP,431.03,2026-04-08 04:23:08
https://gigatron.rs,200.0,0.114,UP,877.19,2026-04-08 04:23:08
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-08 04:23:08
https://google.com,200.0,0.632,UP,158.23,2026-04-08 04:38:51
https://github.com,200.0,0.228,UP,438.6,2026-04-08 04:38:51
https://gigatron.rs,200.0,0.103,UP,970.87,2026-04-08 04:38:51
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-08 04:38:51
https://google.com,200.0,0.887,UP,112.74,2026-04-08 04:56:34
https://github.com,200.0,0.335,UP,298.51,2026-04-08 04:56:34
https://gigatron.rs,200.0,0.114,UP,877.19,2026-04-08 04:56:34
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-08 04:56:34
https://google.com,200.0,0.615,UP,162.6,2026-04-08 05:14:12
https://github.com,200.0,0.223,UP,448.43,2026-04-08 05:14:12
https://gigatron.rs,200.0,0.108,UP,925.93,2026-04-08 05:14:12
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-08 05:14:12
https://google.com,200.0,0.409,UP,244.5,2026-04-08 05:31:20
https://github.com,200.0,0.346,UP,289.02,2026-04-08 05:31:20
https://gigatron.rs,200.0,0.097,UP,1030.93,2026-04-08 05:31:20
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-08 05:31:20
https://google.com,200.0,0.819,UP,122.1,2026-04-08 05:46:37
https://github.com,200.0,0.341,UP,293.26,2026-04-08 05:46:37
https://gigatron.rs,200.0,0.089,UP,1123.6,2026-04-08 05:46:37
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-08 05:46:37
https://google.com,200.0,0.386,UP,259.07,2026-04-08 06:03:02
https://github.com,200.0,0.352,UP,284.09,2026-04-08 06:03:02
https://gigatron.rs,200.0,0.125,UP,800.0,2026-04-08 06:03:02
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-08 06:03:02
https://google.com,200.0,0.391,UP,255.75,2026-04-08 06:19:55
https://github.com,200.0,3.306,UP,30.25,2026-04-08 06:19:55
https://gigatron.rs,200.0,0.149,UP,671.14,2026-04-08 06:19:55
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-08 06:19:55
https://google.com,200.0,0.86,UP,116.28,2026-04-08 06:36:55
https://github.com,200.0,0.332,UP,301.2,2026-04-08 06:36:55
https://gigatron.rs,200.0,0.087,UP,1149.43,2026-04-08 06:36:55
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-08 06:36:55
https://google.com,200.0,1.15,UP,86.96,2026-04-08 06:53:56
https://github.com,200.0,0.217,UP,460.83,2026-04-08 06:53:56
https://gigatron.rs,200.0,0.087,UP,1149.43,2026-04-08 06:53:56
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-08 06:53:56
https://google.com,200.0,1.263,UP,79.18,2026-04-08 07:11:58
https://github.com,200.0,0.812,UP,123.15,2026-04-08 07:11:58
https://gigatron.rs,200.0,1.1,UP,90.91,2026-04-08 07:11:58
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-08 07:11:58
https://google.com,200.0,0.803,UP,124.53,2026-04-08 07:29:29
https://github.com,200.0,0.224,UP,446.43,2026-04-08 07:29:29
https://gigatron.rs,200.0,0.105,UP,952.38,2026-04-08 07:29:29
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-08 07:29:29
https://google.com,200.0,0.766,UP,130.55,2026-04-08 07:45:32
https://github.com,200.0,0.233,UP,429.18,2026-04-08 07:45:32
https://gigatron.rs,200.0,0.095,UP,1052.63,2026-04-08 07:45:32
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-08 07:45:32
https://google.com,200.0,0.413,UP,242.13,2026-04-08 08:02:11
https://github.com,200.0,0.318,UP,314.47,2026-04-08 08:02:11
https://gigatron.rs,200.0,0.089,UP,1123.6,2026-04-08 08:02:11
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-08 08:02:11
